SubFrac,TagNo,Status,DBH,Ht,LiCrBHt,CrwnCl,CrwnRad,DecayCl,IsVerified,QTR,CrwnRto,CrFuBHt,Age,GrwthRt,Mort,LaddBaseHt,LaddMaxHt,DRC,NuLiStems,NuDeStems,EqDia,XCoord,YCoord,CKR,CharHt,ScorchHt,CrScPct,DamCd1,DamSev1,DamCd2,DamSev2,DamCd3,DamSev3,DamCd4,DamSev4,DamCd5,DamSev5,Comment,UV1,UV2,UV3,Species
1,740,L,35.9,19,13.6,C,1.35,,FALSE,,40,,,,,,,,,,,,,,7.4,13.4,60,,,,,,,,,,,New tag 880,,,,PIJE
1,741,D,,,,,,5,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,QUKE
1,743,L,39.4,12.6,3.2,C,2.75,,FALSE,,30,,,,,,,,,,,,,,0.5,0,0,,,,,,,,,,,,,,,QUKE
1,744,L,38.15,12,2.9,C,2.5,,FALSE,,20,,,,,,,,,,,,,,0.3,0,0,,,,,,,,,,,,,,,QUKE
1,745,D,14.05,4.5,,,,,FALSE,,,,,,,,,,,,,,,,4.5,4.5,90,,,,,,,,,,,,,,,PIJE
1,747,L,41.55,21.4,14.6,C,1,,FALSE,,40,,,,,,,,,,,,,,9.6,14.6,60,,,,,,,,,,,,,,,PIJE
1,754,L,57.3,25.6,17,C,2.5,,FALSE,,80,,,,,,,,,,,,,,10.4,17,20,,,,,,,,,,,,,,,PIJE
1,755,L,46.65,24.4,18.4,C,1.75,,FALSE,,80,,,,,,,,,,,,,,8,18.4,20,,,,,,,,,,,,,,,PIJE
1,756,L,56.2,26,17.6,C,4.5,,FALSE,,90,,,,,,,,,,,,,,7.6,0,0,,,,,,,,,,,New tag 881,,,,PIJE
1,757,L,58.4,23,17.4,C,4,,FALSE,,60,,,,,,,,,,,,,,7.4,14.6,40,,,,,,,,,,,New tag 879,,,,PIJE