Project,Site,Year,Plot Id,"Transect (N,E,S,W)",Slope,Dom Tree,Tot. Woody (Ton/Acr.),Tot. Fine (Ton/Acr.),1 hr (Ton/Acr.),10 hr (Ton/Acr.),100 hr (Ton/Acr.),Tot. CWD (Ton/Acr.),Sound CWD (Ton/Acr.),Rotten CWD (Ton/Acr.),Duff + Litter Avg (in),Fuel Height Avg (in),Duff + Litter Avg (cm),Fuel Height Avg (cm),n 1hr,n 10hr,n 100hr,Duff 1 (cm),Litter 1 (cm),Duff 2 (cm),Litter 2 (cm),Fuel 1:1,Fuel 1:2,Fuel 1:3,Fuel 2:1,Fuel 2:2,Fuel 2:3,notes for fuels,notes for CWD,Snd CWD dia 1 (cm),Snd CWD dia 1 (in),Dia L (cm),Dia S (cm),Length (m),Decay Class,Snd CWD dia 2 (cm),Snd CWD dia 2 (in),Dia L (cm),Dia S (cm),Length (m),Decay Class,Snd CWD dia 3 (cm),Snd CWD dia 3 (in),Dia L (cm),Dia S (cm),Length (m),Decay Class,Snd CWD dia 4 (cm),Snd CWD dia 4 (in),Dia L (cm),Dia S (cm),Length (m),Decay Class,Snd CWD dia 5 (cm),Snd CWD dia 5 (in),Dia L (cm),Dia S (cm),Length (m),Decay Class,Snd CWD dia 6 (cm),Snd CWD dia 6 (in),Dia L (cm),Dia S (cm),Length (m),Decay Class,Snd CWD dia 7 (cm),Snd CWD dia 7 (in),Dia L (cm),Dia S (cm),Length (m),Decay Class,Rtn CWD dia 1 (cm),Rtn CWD dia 1 (in),Rtn Dia L 1,Rtn Dia S 1,Rtn Length 1,Rnt Decay Class 1,Rtn CWD dia 2 (cm),Rtn CWD dia 2 (in),Rtn Dia L 2,Rtn Dia S 2,Rtn Length 2,Decay class 2,Rtn CWD dia 3 (cm),Rtn CWD dia 3 (in),Rtn Dia L 3,Rtn Dia S 3,Rnt L (m),Decay Class,Rtn CWD dia 4 (cm),Rtn CWD dia 4 (in),Rtn Dia L 4,Rtn Dia S 4,Rnt L (m),Decay Class,Rtn CWD dia 5 (cm),Rtn CWD dia 5 (in),Rtn Dia L 5,Rtn Dia S 5,Rnt L (m),Decay Class,Rtn CWD dia 6 (cm),Rtn CWD dia 6 (in),Rtn Dia L 6,Rtn Dia S 6,Rnt L (m),Decay Class,Rtn CWD dia 7 (cm),Rtn CWD dia 7 (in),Rtn Dia L 7,Rtn Dia S 7,Rnt L (m),Decay Class,Sum snd CWD Dia's^2,Sum Rtn CWD dia's^2,Fuel 1 avg,Fuel 2 avg,d^2 1hr,s 1hr,a 1hr,Nl 1hr,d^2 10hr,s 10hr,a 10hr,Nl 10hr,d^2 100hr,s 100hr,a 100hr,Nl 100hr,s CWD sound,a CWD sound,Nl CWD sound,s CWD rotten ,a CWD rotten,Nl CWD rotten,c
Thomas Fire,Nordoff,2018,BC1,S,18,Composite,2.08,0.10,0.10,0.00,0.00,1.98,1.98,0.00,0.00,0.00,0.00,0.00,7,0,0,0,0,0,0,0,0,0,0,0,0,,,10,3.937,14,4,24,2,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,15.499969,0,0,0,0.0151,0.48,1.13,6.56,0.289,0.48,1.13,6.56,2.76,0.4,1.13,13.12,0.4,1,37.07,0.3,1,37.07,1.016070864
Thomas Fire,Nordoff,2018,BC1,N,14,Composite,0.35,0.35,0.07,0.28,0.00,0.00,0.00,0.00,0.20,0.36,0.50,0.92,5,1,0,0.5,0.5,0,0,1,0.5,1,1,1,1,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,0,0,0.8333333333,1,0.0151,0.48,1.13,6.56,0.289,0.48,1.13,6.56,2.76,0.4,1.13,13.12,0.4,1,37.07,0.3,1,37.07,1.009752445
Thomas Fire,Nordoff,2018,BC2,S,11,Composite,4.28,4.28,0.38,0.56,3.34,0.00,0.00,0.00,1.18,0.52,3.00,1.33,26,2,3,0,0,5,1,1,0,1,3,3,0,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,0,0,0.6666666667,2,0.0151,0.48,1.13,6.56,0.289,0.48,1.13,6.56,2.76,0.4,1.13,13.12,0.4,1,37.07,0.3,1,37.07,1.006031809
Thomas Fire,Nordoff,2018,BC2,N,16,Composite,0.53,0.53,0.53,0.00,0.00,0.00,0.00,0.00,0.79,0.66,2.00,1.67,36,0,0,0,1,1,2,1,1,2,2,3,1,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,0,0,1.333333333,2,0.0151,0.48,1.13,6.56,0.289,0.48,1.13,6.56,2.76,0.4,1.13,13.12,0.4,1,37.07,0.3,1,37.07,1.012719112
Thomas Fire,Nordoff,2018,BC3,S,4,Composite,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.77,0.00,4.50,0.00,0,0,0,6,0,3,0,0,0,0,0,0,0,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,0,0,0,0,0.0151,0.48,1.13,6.56,0.289,0.48,1.13,6.56,2.76,0.4,1.13,13.12,0.4,1,37.07,0.3,1,37.07,1.00079968
Thomas Fire,Nordoff,2018,BC3,N,1,Composite,0.03,0.03,0.03,0.00,0.00,0.00,0.00,0.00,1.38,0.13,3.50,0.33,2,0,0,3,0,4,0,0,2,0,0,0,0,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,0,0,0.6666666667,0,0.0151,0.48,1.13,6.56,0.289,0.48,1.13,6.56,2.76,0.4,1.13,13.12,0.4,1,37.07,0.3,1,37.07,1.000049999
Thomas Fire,Nordoff,2018,BC4,S,32,Composite,0.11,0.11,0.11,0.00,0.00,0.00,0.00,0.00,0.10,0.16,0.25,0.42,7,0,0,0,0.5,0,0,0.5,0,1,0,1,0,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,0,0,0.5,0.3333333333,0.0151,0.48,1.13,6.56,0.289,0.48,1.13,6.56,2.76,0.4,1.13,13.12,0.4,1,37.07,0.3,1,37.07,1.04995238
Thomas Fire,Nordoff,2018,BC4,N,35,Composite,4.25,4.25,0.12,4.13,0.00,0.00,0.00,0.00,0.69,2.13,1.75,5.42,8,14,0,2,1,0,0.5,1,10,20,0.5,0.5,0.5,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,0,0,10.33333333,0.5,0.0151,0.48,1.13,6.56,0.289,0.48,1.13,6.56,2.76,0.4,1.13,13.12,0.4,1,37.07,0.3,1,37.07,1.059481005
Thomas Fire,Nordoff,2018,BC5,S,65,Composite,1.89,1.89,0.24,0.33,1.32,0.00,0.00,0.00,0.39,0.46,1.00,1.17,14,1,1,0,1,0,1,1,1,0,1,1,3,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,0,0,0.6666666667,1.666666667,0.0151,0.48,1.13,6.56,0.289,0.48,1.13,6.56,2.76,0.4,1.13,13.12,0.4,1,37.07,0.3,1,37.07,1.192686044
Thomas Fire,Nordoff,2018,BC5,N,59,Composite,2.13,2.13,0.20,0.65,1.29,0.00,0.00,0.00,0.20,0.33,0.50,0.83,12,2,1,0,0,1,0,4,0,0,0,0,1,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,0,0,1.333333333,0.3333333333,0.0151,0.48,1.13,6.56,0.289,0.48,1.13,6.56,2.76,0.4,1.13,13.12,0.4,1,37.07,0.3,1,37.07,1.161077086
Thomas Fire,Nordoff,2018,BC6,S,63,Composite,4.81,2.74,0.12,0.00,2.62,2.08,2.08,0.00,0.49,0.56,1.25,1.42,7,0,2,0,1,0,1.5,1,1.5,2,1.5,1,1.5,,,9.5,3.74015,11,7,2.34,2,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,13.98872202,0,1.5,1.333333333,0.0151,0.48,1.13,6.56,0.289,0.48,1.13,6.56,2.76,0.4,1.13,13.12,0.4,1,37.07,0.3,1,37.07,1.181905242
Thomas Fire,Nordoff,2018,BC6,N,62,Composite,3.80,0.22,0.22,0.00,0.00,3.58,3.58,0.00,0.98,1.25,2.50,3.17,13,0,0,1,3,0,1,3,5,2,3,3,3,,,12.5,4.92125,20,8,3.57,1,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,24.21870156,0,3.333333333,3,0.0151,0.48,1.13,6.56,0.289,0.48,1.13,6.56,2.76,0.4,1.13,13.12,0.4,1,37.07,0.3,1,37.07,1.176605286
Thomas Fire,Nordoff,2018,BC7,S,9,Composite,26.02,0.69,0.13,0.56,0.00,25.33,25.33,0.00,1.57,0.89,4.00,2.25,9,2,0,0,2.5,2.5,3,2.5,1,1.5,3,3.5,2,,,36,14.1732,39,27,6.32,2,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,200.8795982,0,1.666666667,2.833333333,0.0151,0.48,1.13,6.56,0.289,0.48,1.13,6.56,2.76,0.4,1.13,13.12,0.4,1,37.07,0.3,1,37.07,1.004041832
Thomas Fire,Nordoff,2018,BC7,N,6,Composite,0.20,0.20,0.20,0.00,0.00,0.00,0.00,0.00,1.28,0.95,3.25,2.42,14,0,0,0,2.5,1,3,2.5,1,2,3,4,2,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,0,0,1.833333333,3,0.0151,0.48,1.13,6.56,0.289,0.48,1.13,6.56,2.76,0.4,1.13,13.12,0.4,1,37.07,0.3,1,37.07,1.001798383
Thomas Fire,Nordoff,2018,BC8,S,39,Composite,1.22,1.22,0.03,0.00,1.19,0.00,0.00,0.00,0.00,0.20,0.00,0.50,2,0,1,0,0,0,0,0,0,0,0,3,0,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,0,0,0,1,0.0151,0.48,1.13,6.56,0.289,0.48,1.13,6.56,2.76,0.4,1.13,13.12,0.4,1,37.07,0.3,1,37.07,1.073359213
Thomas Fire,Nordoff,2018,BC8,N,72,Composite,1.49,1.49,0.13,0.00,1.36,0.00,0.00,0.00,0.39,0.26,1.00,0.67,7,0,1,0,1,0,1,1,0,2,1,0,0,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,0,0,1,0.3333333333,0.0151,0.48,1.13,6.56,0.289,0.48,1.13,6.56,2.76,0.4,1.13,13.12,0.4,1,37.07,0.3,1,37.07,1.232233744
Thomas Fire,Dry Lakes,2018,BC9,S,59,Composite,1.94,1.94,0.32,1.61,0.00,0.00,0.00,0.00,0.00,0.33,0.00,0.83,19,5,0,0,0,0,0,1,1,1,1,0,1,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,0,0,1,0.6666666667,0.0151,0.48,1.13,6.56,0.289,0.48,1.13,6.56,2.76,0.4,1.13,13.12,0.4,1,37.07,0.3,1,37.07,1.161077086
Thomas Fire,Dry Lakes,2018,BC9,N,61,Composite,7.72,7.72,0.26,0.98,6.48,0.00,0.00,0.00,2.36,2.30,6.00,5.83,15,3,5,3,4,1,4,4,4,7,12,5,3,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,0,0,5,6.666666667,0.0151,0.48,1.13,6.56,0.289,0.48,1.13,6.56,2.76,0.4,1.13,13.12,0.4,1,37.07,0.3,1,37.07,1.171366723
Thomas Fire,Dry Lakes,2018,BC10,S,58,Composite,0.81,0.81,0.17,0.64,0.00,0.00,0.00,0.00,2.36,1.31,6.00,3.33,10,2,0,4,2,5,1,2,3,1,6,5,3,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,0,0,2,4.666666667,0.0151,0.48,1.13,6.56,0.289,0.48,1.13,6.56,2.76,0.4,1.13,13.12,0.4,1,37.07,0.3,1,37.07,1.156027681
Thomas Fire,Dry Lakes,2018,BC10,N,52,Composite,0.05,0.05,0.05,0.00,0.00,0.00,0.00,0.00,2.76,0.85,7.00,2.17,3,0,0,3,4,5,2,4,4,1,2,1,1,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,0,0,3,1.333333333,0.0151,0.48,1.13,6.56,0.289,0.48,1.13,6.56,2.76,0.4,1.13,13.12,0.4,1,37.07,0.3,1,37.07,1.127120224
Thomas Fire,Dry Lakes,2018,BC11,S,80,Composite,2.09,2.09,0.32,0.36,1.42,0.00,0.00,0.00,2.17,2.26,5.50,5.75,17,1,1,0,0,5,6,0,0,0.5,7,14,13,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,0,0,0.1666666667,11.33333333,0.0151,0.48,1.13,6.56,0.289,0.48,1.13,6.56,2.76,0.4,1.13,13.12,0.4,1,37.07,0.3,1,37.07,1.280624847
Thomas Fire,Dry Lakes,2018,BC11,N,59,Composite,8.87,8.87,0.51,1.94,6.43,0.00,0.00,0.00,2.85,2.72,7.25,6.92,30,6,5,3,5.5,3,3,5.5,6,3,12,9,6,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,0,0,4.833333333,9,0.0151,0.48,1.13,6.56,0.289,0.48,1.13,6.56,2.76,0.4,1.13,13.12,0.4,1,37.07,0.3,1,37.07,1.161077086
Thomas Fire,Jameson,2018,BC12,S,79,Composite,0.54,0.54,0.19,0.35,0.00,0.00,0.00,0.00,0.98,0.52,2.50,1.33,10,1,0,2,1,2,0,1,0.5,0.5,0,5,1,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,0,0,0.6666666667,2,0.0151,0.48,1.13,6.56,0.289,0.48,1.13,6.56,2.76,0.4,1.13,13.12,0.4,1,37.07,0.3,1,37.07,1.27440182
Thomas Fire,Jameson,2018,BC12,N,99,Composite,0.06,0.06,0.06,0.00,0.00,0.00,0.00,0.00,1.67,0.54,4.25,1.37,3,0,0,1,1.5,0,6,0.5,0.5,1,6,0.1,0.1,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,0,0,0.6666666667,2.066666667,0.0151,0.48,1.13,6.56,0.289,0.48,1.13,6.56,2.76,0.4,1.13,13.12,0.4,1,37.07,0.3,1,37.07,1.407160261
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,0,0,#DIV/0!,#DIV/0!,0.0151,0.48,1.13,6.56,0.289,0.48,1.13,6.56,2.76,0.4,1.13,13.12,0.4,1,37.07,0.3,1,37.07,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,0,0,#DIV/0!,#DIV/0!,0.0151,0.48,1.13,6.56,0.289,0.48,1.13,6.56,2.76,0.4,1.13,13.12,0.4,1,37.07,0.3,1,37.07,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,0,0,#DIV/0!,#DIV/0!,0.0151,0.48,1.13,6.56,0.289,0.48,1.13,6.56,2.76,0.4,1.13,13.12,0.4,1,37.07,0.3,1,37.07,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,0,0,#DIV/0!,#DIV/0!,0.0151,0.48,1.13,6.56,0.289,0.48,1.13,6.56,2.76,0.4,1.13,13.12,0.4,1,37.07,0.3,1,37.07,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,0,0,#DIV/0!,#DIV/0!,0.0151,0.48,1.13,6.56,0.289,0.48,1.13,6.56,2.76,0.4,1.13,13.12,0.4,1,37.07,0.3,1,37.07,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,0,0,#DIV/0!,#DIV/0!,0.0151,0.48,1.13,6.56,0.289,0.48,1.13,6.56,2.76,0.4,1.13,13.12,0.4,1,37.07,0.3,1,37.07,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,0,0,#DIV/0!,#DIV/0!,0.0151,0.48,1.13,6.56,0.289,0.48,1.13,6.56,2.76,0.4,1.13,13.12,0.4,1,37.07,0.3,1,37.07,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,0,0,#DIV/0!,#DIV/0!,0.0151,0.48,1.13,6.56,0.289,0.48,1.13,6.56,2.76,0.4,1.13,13.12,0.4,1,37.07,0.3,1,37.07,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,0,0,#DIV/0!,#DIV/0!,0.0151,0.48,1.13,6.56,0.289,0.48,1.13,6.56,2.76,0.4,1.13,13.12,0.4,1,37.07,0.3,1,37.07,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,0,0,#DIV/0!,#DIV/0!,0.0151,0.48,1.13,6.56,0.289,0.48,1.13,6.56,2.76,0.4,1.13,13.12,0.4,1,37.07,0.3,1,37.07,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,0,0,#DIV/0!,#DIV/0!,0.0151,0.48,1.13,6.56,0.289,0.48,1.13,6.56,2.76,0.4,1.13,13.12,0.4,1,37.07,0.3,1,37.07,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,0,0,#DIV/0!,#DIV/0!,0.0151,0.48,1.13,6.56,0.289,0.48,1.13,6.56,2.76,0.4,1.13,13.12,0.4,1,37.07,0.3,1,37.07,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,0,0,#DIV/0!,#DIV/0!,0.0151,0.48,1.13,6.56,0.289,0.48,1.13,6.56,2.76,0.4,1.13,13.12,0.4,1,37.07,0.3,1,37.07,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,0,0,#DIV/0!,#DIV/0!,0.0151,0.48,1.13,6.56,0.289,0.48,1.13,6.56,2.76,0.4,1.13,13.12,0.4,1,37.07,0.3,1,37.07,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,0,0,#DIV/0!,#DIV/0!,0.0151,0.48,1.13,6.56,0.289,0.48,1.13,6.56,2.76,0.4,1.13,13.12,0.4,1,37.07,0.3,1,37.07,1
