ProjID,PlotNr,Date,Meas,TreeID,PType,Factor,Count,Species,Dbh,Height,Status,Class,HLC,ScorchHt,TorchHt,CharHt,,Notes
Crag WFU,2,9/19/05,1,1,P,20,1,PIJE,53,24,L,C,9.4,4.9,0,4.9,,
Crag WFU,2,9/15/05,0,1,P,20,1,PIJE,53,24,L,C,9.4,-1,-1,-1,,
Crag WFU,2,9/19/05,1,2,P,20,1,PIJE,143,13,D,3,-1,0,0,0.2,,
Crag WFU,2,9/15/05,0,2,P,20,1,PIJE,143,13,L,D,0,-1,-1,-1,,
Crag WFU,2,9/19/05,1,3,P,20,1,PIJE,95,32.7,L,C,11.5,0,0,5.1,,
Crag WFU,2,9/15/05,0,3,P,20,1,PIJE,95,32.7,L,C,11.5,-1,-1,-1,,
Crag WFU,2,9/19/05,1,4,P,20,1,PIJE,65,26.7,L,C,8.5,0,0,7,,
Crag WFU,2,9/15/05,0,4,P,20,1,PIJE,65,26.7,L,C,8.5,-1,-1,-1,,
Crag WFU,2,9/19/05,1,5,P,20,1,PIJE,57,33.6,L,C,10.4,9.1,0,2.6,,
Crag WFU,2,9/15/05,0,5,P,20,1,PIJE,57,33.6,L,C,10.4,-1,-1,-1,,
Crag WFU,2,9/19/05,1,6,P,20,1,PIJE,75,29.7,L,C,9.7,0,0,1.8,,
Crag WFU,2,9/15/05,0,6,P,20,1,PIJE,75,29.7,L,C,9.7,-1,-1,-1,,
Crag WFU,2,9/19/05,1,7,P,20,1,PIJE,75,26.2,L,C,11.4,0,0,2,,
Crag WFU,2,9/15/05,0,7,P,20,1,PIJE,75,26.2,L,C,11.4,-1,-1,-1,,
Crag WFU,2,9/19/05,1,8,P,20,1,PIJE,95,28.8,L,C,7.3,0,0,2,,
Crag WFU,2,9/15/05,0,8,P,20,1,PIJE,95,28.8,L,C,7.3,-1,-1,-1,,
Crag WFU,3,9/20/05,1,1,P,5,1,ABCO,3,2.7,L,I,0.5,0,0,0.2,,
Crag WFU,3,9/16/05,0,1,P,5,1,ABCO,3,2.7,L,I,0.5,-1,-1,-1,,
Crag WFU,3,9/20/05,1,2,P,20,1,PIJE,67,25.9,L,C,11.4,0,0,0,,
Crag WFU,3,9/16/05,0,2,P,20,1,PIJE,67,25.9,L,C,11.4,-1,-1,-1,,
Crag WFU,3,9/20/05,1,3,P,20,1,ABCO,87,31.6,L,C,9.1,0,0,0,,
Crag WFU,3,9/16/05,0,3,P,20,1,ABCO,87,31.6,L,C,9.1,-1,-1,-1,,
Crag WFU,3,9/20/05,1,4,P,20,1,PIJE,43,18.7,L,C,6.9,6.9,0,0.8,,
Crag WFU,3,9/16/05,0,4,P,20,1,PIJE,43,18.7,L,C,5.8,-1,-1,-1,,
Crag WFU,3,9/16/05,0,5,P,20,1,PICO,57,23.8,D,3,-1,-1,-1,-1,,
Crag WFU,3,9/20/05,1,6,P,20,1,ABCO,187,48.7,L,D,8.1,0,0,0.7,,
Crag WFU,3,9/16/05,0,6,P,20,1,ABCO,187,48.7,L,D,8.1,-1,-1,-1,,
Crag WFU,3,9/20/05,1,7,P,20,1,PIJE,105,34.8,L,C,7.5,7.5,0,1.9,,
Crag WFU,3,9/16/05,0,7,P,20,1,PIJE,105,34.8,L,C,5.4,-1,-1,-1,,
Crag WFU,4,9/17/05,1,1,P,20,1,ABCO,55,21.8,L,D,6.8,0,0,1.2,,
Crag WFU,4,9/16/05,0,1,P,20,1,ABCO,55,21.8,L,D,6.8,-1,-1,-1,,
Crag WFU,4,9/17/05,1,2,P,20,1,ABCO,42,16.6,L,C,3.7,0,0,1,,
Crag WFU,4,9/16/05,0,2,P,20,1,ABCO,42,16.6,L,C,3.7,-1,-1,-1,,
Crag WFU,4,9/17/05,1,3,P,20,1,ABCO,115,27.2,L,D,8.4,7.7,0,4.4,,
Crag WFU,4,9/16/05,0,3,P,20,1,ABCO,115,27.2,L,D,8.4,-1,-1,-1,,
Crag WFU,4,9/17/05,1,4,P,20,1,ABCO,43,22.4,L,D,11.1,11.1,0,6.7,,
Crag WFU,4,9/16/05,0,4,P,20,1,ABCO,43,22.4,L,D,6.2,-1,-1,-1,,
Crag WFU,4,9/17/05,1,5,P,20,1,ABCO,27,11,D,3,-1,0,0,4.7,,
Crag WFU,4,9/16/05,0,5,P,20,1,ABCO,27,11,D,3,-1,-1,-1,-1,,
Crag WFU,4,9/17/05,1,6,P,20,1,PIJE,54,18.5,D,3,-1,0,0,6.6,,
Crag WFU,4,9/16/05,0,6,P,20,1,PIJE,54,18.5,D,3,-1,-1,-1,-1,,
Crag WFU,4,9/17/05,1,7,P,20,1,ABCO,32,16.4,L,C,7,10,0,4.3,,
Crag WFU,4,9/16/05,0,7,P,20,1,ABCO,32,16.4,L,C,7,-1,-1,-1,,
Crag WFU,4,9/17/05,1,8,P,20,1,ABCO,27,10.2,L,I,8.8,8.8,0,0,,
Crag WFU,4,9/16/05,0,8,P,20,1,ABCO,27,10.2,L,I,4.1,-1,-1,-1,,
Crag WFU,4,9/17/05,1,9,P,20,1,ABCO,36,13.3,L,C,10.1,10.1,0,0,,
Crag WFU,4,9/16/05,0,9,P,20,1,ABCO,36,13.3,L,C,5.6,-1,-1,-1,,
Crag WFU,4,9/17/05,1,10,P,5,1,ABCO,10,3,L,S,3,3,0,1.9,,
Crag WFU,4,9/16/05,0,10,P,5,1,ABCO,10,3,L,S,1.9,-1,-1,-1,,
Crag WFU,4,9/17/05,1,11,P,5,1,ABCO,14,6.2,L,I,6.2,6.2,0,3.2,,
Crag WFU,4,9/16/05,0,11,P,5,1,ABCO,14,6.2,L,I,1.7,-1,-1,-1,,
Crag WFU,4,9/20/05,1,12,P,5,1,PIJE,13,5.1,L,I,4.7,4.7,0,0.8,,
Crag WFU,4,9/16/05,0,12,P,5,1,PIJE,13,5.1,L,I,4.3,-1,-1,-1,,
Crag WFU,5,9/20/05,1,1,P,40,1,PIJE,165,35.3,L,C,11.1,0,0,5.7,,
Crag WFU,5,9/17/05,0,1,P,40,1,PIJE,165,35.3,L,C,11.1,-1,-1,-1,,
Crag WFU,5,9/20/05,1,2,P,40,1,PIJE,145,30.3,L,C,10.3,0,0,3.6,,
Crag WFU,5,9/17/05,0,2,P,40,1,PIJE,145,30.3,L,C,10.3,-1,-1,-1,,
Crag WFU,5,9/20/05,1,3,P,40,1,PIJE,100,36.6,L,C,11.7,0,0,2.1,,
Crag WFU,5,9/17/05,0,3,P,40,1,PIJE,100,36.6,L,C,11.7,-1,-1,-1,,
Crag WFU,5,9/20/05,1,4,P,40,1,PIJE,120,33,L,C,10.5,0,0,1.7,,
Crag WFU,5,9/17/05,0,4,P,40,1,PIJE,120,33,L,C,10.5,-1,-1,-1,,
Crag WFU,5,9/20/05,1,5,P,40,1,PIJE,112,29.6,L,C,7.9,0,0,4,,
Crag WFU,5,9/17/05,0,5,P,40,1,PIJE,112,29.6,L,C,7.9,-1,-1,-1,,
Crag WFU,5,9/20/05,1,6,P,40,1,PIJE,125,31.9,L,C,18,0,0,4.5,,
Crag WFU,5,9/17/05,0,6,P,40,1,PIJE,125,31.9,L,C,18,-1,-1,-1,,
Crag WFU,6,9/20/05,1,1,P,20,1,PIJE,110,32.6,L,C,8.6,0,0,0,,
Crag WFU,6,9/17/05,0,1,P,20,1,PIJE,110,32.6,L,C,8.6,-1,-1,-1,,
Crag WFU,6,9/20/05,1,2,P,20,1,PIJE,100,33.8,L,C,6.8,0,0,0,,
Crag WFU,6,9/17/05,0,2,P,20,1,PIJE,100,33.8,L,C,6.8,-1,-1,-1,,
Crag WFU,6,9/20/05,1,3,P,20,1,ABCO,70,24.5,L,C,11,0,0,0,,
Crag WFU,6,9/17/05,0,3,P,20,1,ABCO,70,24.5,L,C,11,-1,-1,-1,,
Crag WFU,6,9/20/05,1,4,P,5,1,PICO,17,10.2,L,I,1.3,0,0,0,,
Crag WFU,6,9/17/05,0,4,P,5,1,PICO,17,10.2,L,I,1.3,-1,-1,-1,,
Crag WFU,6,9/20/05,1,5,P,5,1,PICO,22,12.4,L,I,4.7,0,0,0,,
Crag WFU,6,9/17/05,0,5,P,5,1,PICO,22,12.4,L,I,4.7,-1,-1,-1,,
Crag WFU,6,9/20/05,1,6,P,5,1,PICO,25,12.6,L,I,2.3,0,0,0,,
Crag WFU,6,9/17/05,0,6,P,5,1,PICO,25,12.6,L,I,2.3,-1,-1,-1,,
Crag WFU,6,9/20/05,1,7,P,5,1,PICO,13,6.2,L,S,3.2,0,0,0,,
Crag WFU,6,9/17/05,0,7,P,5,1,PICO,13,6.2,L,S,3.2,-1,-1,-1,,
Crag WFU,6,9/20/05,1,8,P,5,1,PIJE,25,10.2,L,I,2.2,0,0,0,,
Crag WFU,6,9/17/05,0,8,P,5,1,PIJE,25,10.2,L,I,2.2,-1,-1,-1,,
Crag WFU,7,9/20/05,1,1,P,10,1,PIJE,60,3.8,D,3,-1,3.8,0,0,,
Crag WFU,7,9/17/05,0,1,P,10,1,PIJE,110,11.5,D,3,-1,-1,-1,-1,,
Crag WFU,7,9/20/05,1,2,P,10,1,PIJE,85,23.9,L,D,8,8,0,5.6,,
Crag WFU,7,9/17/05,0,2,P,10,1,PIJE,85,23.9,L,D,6.7,-1,-1,-1,,
Crag WFU,7,9/20/05,1,3,P,10,1,PIJE,20,6,L,I,4.2,4.2,0,2.6,,
Crag WFU,7,9/17/05,0,3,P,10,1,PIJE,20,6,L,I,1.6,-1,-1,-1,,
Crag WFU,7,9/20/05,1,4,P,10,1,JUOC,25,8.9,L,I,3.9,3.9,0,2.5,,
Crag WFU,7,9/17/05,0,4,P,10,1,JUOC,25,8.9,L,I,1.8,-1,-1,-1,,
Crag WFU,7,9/20/05,1,5,P,10,1,PIJE,25,9.5,L,I,3.4,3.4,0,1.4,,
Crag WFU,7,9/17/05,0,5,P,10,1,PIJE,25,9.5,L,I,1.7,-1,-1,-1,,
Crag WFU,7,9/20/05,1,6,P,10,1,JUOC,40,9.7,L,I,4.6,4.6,1.9,1.3,,
Crag WFU,7,9/17/05,0,6,P,10,1,JUOC,40,9.7,L,I,1.3,-1,-1,-1,,
Crag WFU,7,9/20/05,1,7,P,5,1,PIJE,15.2,6.4,L,I,2.5,2.5,0,1.3,,
Crag WFU,7,9/17/05,0,7,P,5,1,PIJE,15.2,6.4,L,I,1.2,-1,-1,-1,,
Crag WFU,7,9/20/05,1,8,P,5,1,PIJE,15.2,7.5,L,I,3.1,3.1,0,1.9,,
Crag WFU,7,9/17/05,0,8,P,5,1,PIJE,15.2,7.5,L,I,2.4,-1,-1,-1,,
Crag WFU,7,9/20/05,1,9,P,5,1,PICO,8,4.7,L,I,2.2,2.2,0,0.4,,
Crag WFU,7,9/17/05,0,9,P,5,1,PICO,8,4.7,L,I,0.5,-1,-1,-1,,